Hebrew name,English name,code
בארות יצחק,BE'EROT YIZHAQ,450
בית דגן,BET DAGAN,466
בית ג'ן,BEIT JANN,480
בועיינה-נוג'ידאת,BU'EINE-NUJEIDAT,482
בענה,BI'NE,483
בוסתן הגליל,BUSTAN HAGALIL,559
בית אלעזרי,BET EL'AZARI,562
בית גמליאל,BET GAMLI'EL,571
בית העמק,BET HAEMEQ,572
בני ראם,BENE RE'EM,588
בצת,BEZET,589
בני דרום,BENE DAROM,592
בית קמה,BET QAMA,598
בית עריף,BET ARIF,604
ברקאי,BARQAY,617
בית גוברין,BET GUVRIN,619
ברעם,BAR'AM,667
בית נקופה,BET NEQOFA,672
בניה,BENAYA,685
בארותיים,BE'EROTAYIM,697
בורגתה,BURGETA,698
בית זית,BET ZAYIT,710
בן עמי,BEN AMMI,712
בית הגדי,BET HAGADDI,723
ברכיה,BEREKHYA,746
בית שקמה,BET SHIQMA,747
בית מאיר,BET ME'IR,751
בית עזרא,BET EZRA,756
בן זכאי,BEN ZAKKAY,760
בטחה,BITHA,762
בית נחמיה,BET NEHEMYA,784
בית חנניה,BET HANANYA,800
בר גיורא,BAR GIYYORA,823
בית רבן,BET RABBAN,848
בקוע,BEQOA,864
בית חירות,BET HERUT,877
בסמת טבעון,BASMAT TAB'UN,944
ביר אל-מכסור,BIR EL-MAKSUR,998
בית חשמונאי,BET HASHMONAY,1050
"בני עי""ש",BENE AYISH,1066
בית ברל,BET BERL,1076
בן שמן (כפר נוער),BEN SHEMEN(K.NO'AR),1084
בית רימון,BET RIMMON,1162
בר יוחאי,BAR YOHAY,1191
באר מילכה,BE'ER MILKA,1278
בת חפר,BAT HEFER,1319
בת הדר,BAT HADAR,1323
"בסמ""ה",BASMA,1326
ביר הדאג',BIR HADAGE,1348
בת חן,BAT HEN,1361
בני נצרים,BNE NETSARIM,1363
בני דקלים,BNE DEQALIM,1368
באר גנים,BE'ER GANNIM,1376
בן שמן (מושב),BEN SHEMEN (MOSHAV),2013
בית חלקיה,BET HILQIYYA,2033
ברקת,BAREQET,2038
בחן,BAHAN,2043
ברוש,BEROSH,2060
באר יעקב,BE'ER YA'AQOV,2530
בית שמש,BET SHEMESH,2610
בית אל,BET EL,3574
בית חורון,BET HORON,3575
בקעות,BEQA'OT,3612
בית הערבה,BET HAARAVA,3645
בית אריה,BET ARYE,3652
ברקן,BARQAN,3654
ברכה,BERAKHA,3710
ברוכין,BRUKHIN,3744
ביתר עילית,BETAR ILLIT,3780
בת עין,BAT AYIN,3794
בוקעאתא,BUQ'ATA,4001
בני יהודה,BENE YEHUDA,4015
באקה אל-גרביה,BAQA AL-GHARBIYYE,6000
בני ברק,BENE BERAQ,6100
בת ים,BAT YAM,6200
באר שבע,BE'ER SHEVA,9000
בית שאן,BET SHE'AN,9200
בנימינה-גבעת עדה,BINYAMINA-GIV'AT ADA,9800
גדות,GADOT,35
גפן,GEFEN,39
גן שמואל,GAN SHEMU'EL,72
גבע,GEVA,86
גיניגר,GINNEGAR,92
גת רימון,GAT RIMMON,128
גבת,GEVAT,133
גן שלמה,GAN SHELOMO,144
גדיש,GADISH,145
גבעת ברנר,GIV'AT BRENNER,147
גן יבנה,GAN YAVNE,166
גבעת חיים (מאוחד),GIV'AT HAYYIM(ME'UHAD),173
גיבתון,GIBBETON,196
"גבעת ח""ן",GIV'AT HEN,207
גני עם,GANNE AM,218
גן השומרון,GAN HASHOMERON,225
גני תקווה,GANNE TIQWA,229
גן חיים,GAN HAYYIM,239
גינוסר,GINNOSAR,262
גשר,GESHER,305
גן שורק,GAN SOREQ,311
גת (קיבוץ),GAT(QIBBUZ),340
גברעם,GEVAR'AM,342
גליל ים,GELIL YAM,346
גבולות,GEVULOT,352
"גבעת ניל""י",GIV'AT NILI,360
גלעד (אבן יצחק),GAL'ED (EVEN YIZHAQ),369
גזר,GEZER,370
גאולים,GE'ULIM,379
גלאון,GAL'ON,393
גבים,GEVIM,424
גדעונה,GID'ONA,442
גזית,GAZIT,457
געתון,GA'TON,463
ג'ולס,JULIS,485
ג'ש (גוש חלב),JISH(GUSH HALAV),487
ג'סר א-זרקא,JISR AZ-ZARQA,541
גנות הדר,GANNOT HADAR,549
גבעת שמש,GIV'AT SHEMESH,566
גשר הזיו,GESHER HAZIW,574
ג'לג'וליה,JALJULYE,627
ג'ת,JATT,628
גבעת שמואל,GIV'AT SHEMU'EL,681
גבע כרמל,GEVA  KARMEL,683
גבעת עוז,GIV'AT OZ,703
גיאה,GE'A,706
גן יאשיה,GAN YOSHIYYA,734
גילת,GILAT,736
גמזו,GIMZO,745
גורן,GOREN,755
גבעת יערים,GIV'AT YE'ARIM,787
גבעתי,GIV'ATI,793
"גבעת כ""ח",GIV'AT KOAH,802
גנות,GANNOT,836
געש,GA'ASH,842
גונן,GONEN,852
גאליה,GE'ALYA,853
גני יוחנן,GANNE YOHANAN,862
גינתון,GINNATON,863
גבעת השלושה,GIV'AT HASHELOSHA,870
גאולי תימן,GE'ULE TEMAN,872
גבעת ישעיהו,GIV'AT YESHA'YAHU,919
ג'נאביב (שבט),JUNNABIB,976
גיזו,GIZO,1043
גן הדרום,GAN HADAROM,1072
גבעת שפירא,GIV'AT SHAPPIRA,1077
גני הדר,GANNE HADAR,1103
גרופית,GEROFIT,1129
גילון,GILON,1204
גיתה,GITTA,1206
גורנות הגליל,GORNOT HAGALIL,1219
גן נר,GAN NER,1274
גבעת אלה,GIV'AT ELA,1288
ג'דיידה-מכר,JUDEIDE-MAKER,1292
גבעת אבני,GIV'AT AVNI,1293
גבעות בר,GEVA'OT BAR,1344
גני טל,GANNE TAL,1371
גבעולים,GIV'OLIM,2014
גבעת חיים (איחוד),GIV'AT HAYYIM (IHUD),2018
גדרה,GEDERA,2550
גלגל,GILGAL,3606
גיתית,GITTIT,3613
גבעון החדשה,GIV'ON HAHADASHA,3644
גבעת זאב,GIV'AT ZE'EV,3730
גבע בנימין,GEVA BINYAMIN,3763
גני מודיעין,GANNE MODI'IN,3823
גבעת יואב,GIV'AT YO'AV,4021
גשור,GESHUR,4022
גבעתיים,GIV'ATAYIM,6300
דגניה א',DEGANYA ALEF,62
דגניה ב',DEGANYA BET,79
דבורה,DEVORA,146
דליה,DALIYYA,300
דפנה,DAFNA,302
דן,DAN,303
דורות,DOROT,336
דברת,DAVERAT,407
דלתון,DALTON,431
דחי,DAHI,475
דבוריה,DABURIYYA,489
דייר אל-אסד,DEIR AL-ASAD,490
דייר חנא,DEIR HANNA,492
דייר ראפאת,DEIR RAFAT,493
דאלית אל-כרמל,DALIYAT AL-KARMEL,494
דור,DOR,738
דבירה,DEVIRA,849
"דוב""ב",DOVEV,1067
דקל,DEQEL,1241
דמיידה,DEMEIDE,1317
דריג'את,DERIG'AT,1349
דישון,DISHON,2063
דימונה,DIMONA,2200
דולב,DOLEV,3747
הדר עם,HADAR AM,191
הזורע,HAZOREA,250
הזורעים,HAZORE'IM,307
הגושרים,HAGOSHERIM,356
המעפיל,HAMA'PIL,377
העוגן,HAOGEN,423
החותרים,HAHOTERIM,434
הראל,HAR'EL,464
הבונים,HABONIM,675
הסוללים,HASOLELIM,677
היוגב,HAYOGEV,684
האון,HAON,702
הודייה,HODIYYA,726
הוזייל (שבט),HUZAYYEL,956
הוואשלה (שבט),HAWASHLA,1169
הושעיה,HOSHA'AYA,1186
הררית,HARARIT,1203
הילה,HILLA,1208
הרדוף,HARDUF,1249
הר עמשא,HAR AMASA,1261
הודיות,HODAYOT,1322
הר גילה,HAR GILLO,3603
הר אדר,HAR ADAR,3769
הרצליה,HERZLIYYA,6400
הוד השרון,HOD HASHARON,9700
ורדון,WARDON,1133
ורד יריחו,WERED YERIHO,3639
זוהר,ZOHAR,44
זיקים,ZIQIM,584
זיתן,ZETAN,788
זכריה,ZEKHARYA,799
זבדיאל,ZAVDI'EL,815
זנוח,ZANOAH,816
זרחיה,ZERAHYA,818
זרזיר,ZARZIR,975
זמרת,ZIMRAT,1065
זמר,ZEMER,1290
זרועה,ZERU'A,2064
זכרון יעקב,ZIKHRON YA'AQOV,9300
חצבה,HAZEVA,13
חפצי-בה,HEFZI-BAH,90
חופית,HOFIT,115
חולדה,HULDA,160
חירות,HERUT,162
חגלה,HOGLA,205
חיבת ציון,HIBBAT ZIYYON,219
חבצלת השרון,HAVAZZELET HASHARON,235
חולתה,HULATA,253
חניתה,HANITA,280
חמדיה,HAMADYA,343
חורשים,HORESHIM,355
חפץ חיים,HAFEZ HAYYIM,363
חוקוק,HUQOQ,374
חצרים,HAZERIM,397
חצור-אשדוד,HAZOR-ASHDOD,406
חרב לאת,HEREV LE'ET,422
חורפיש,HURFEISH,496
חדיד,HADID,618
חוסן,HOSEN,662
חצב,HAZAV,700
חגור,HAGOR,717
חמד,HEMED,801
חניאל,HANNI'EL,807
חלץ,HELEZ,820
חוג'ייראת (ד'הרה),HUJEIRAT (DAHRA),948
ח'ואלד (שבט),KHAWALED,986
חמאם,HAMAM,993
חרוצים,HARUZIM,1024
חזון,HAZON,1047
חבר,HEVER,1110
חרשים,HARASHIM,1209
חולית,HOLIT,1239
חריש,HARISH,1247
חנתון,HANNATON,1257
חלוץ,HALUZ,1272
חורה,HURA,1303
ח'ואלד,KHAWALED,1321
חוסנייה,HUSSNIYYA,1332
חצור הגלילית,HAZOR HAGELILIT,2034
חלמיש,HALLAMISH,3573
חמרה,HAMRA,3609
חיננית,HINNANIT,3643
חמדת,HEMDAT,3646
חרמש,HERMESH,3717
חגי,HAGGAY,3764
חשמונאים,HASHMONA'IM,3770
חיפה,HAIFA,4000
חספין,HASPIN,4005
חד-נס,HAD-NES,4026
חדרה,HADERA,6500
חולון,HOLON,6600
טירת צבי,TIRAT ZEVI,268
טל שחר,TAL SHAHAR,462
טייבה (בעמק),TAYIBE(BAEMEQ),497
טורעאן,TUR'AN,498
טמרה (יזרעאל),TAMRA (YIZRE'EL),547
טירת יהודה,TIRAT YEHUDA,663
טובא-זנגריה,TUBA-ZANGARIYYE,962
טללים,TELALIM,1177
טל-אל,TAL-EL,1181
טפחות,TEFAHOT,1214
טירת כרמל,TIRAT KARMEL,2100
טירה,TIRE,2720
טייבה,TAYIBE,2730
טנא,TENE,3743
טלמון,TALMON,3788
טבריה,TIBERIAS,6700
טמרה,TAMRA,8900
יסוד המעלה,YESUD HAMA'ALA,29
יבנאל,YAVNE'EL,46
"יד רמב""ם",YAD RAMBAM,64
יגור,YAGUR,96
יפעת,YIF'AT,134
ירקונה,YARQONA,183
יקנעם עילית,YOQNE'AM ILLIT,240
יקנעם (מושבה),YOQNE'AM(MOSHAVA),241
יד מרדכי,YAD MORDEKHAY,358
יחיעם,YEHI'AM,409
יקום,YAQUM,417
יסודות,YESODOT,440
יזרעאל,YIZRE'EL,452
יפתח,YIFTAH,453
יפיע,YAFI,499
ירכא,YIRKA,502
יסעור,YAS'UR,575
יד בנימין,YAD BINYAMIN,577
יראון,YIR'ON,623
ירחיב,YARHIV,718
ינוב,YANUV,753
יד חנה,YAD HANNA,758
יציץ,YAZIZ,759
יד נתן,YAD NATAN,775
יערה,YA'ARA,795
יגל,YAGEL,798
יושיביה,YOSHIVYA,803
ישעי,YISH'I,805
יכיני,YAKHINI,811
ישרש,YASHRESH,828
ירוחם,YEROHAM,831
יטבתה,YOTVATA,866
ישע,YESHA,916
יעף,YE'AF,1044
יודפת,YODEFAT,1112
יעל,YA'EL,1117
יד השמונה,YAD HASHEMONA,1134
יעד,YA'AD,1138
ידידה,YEDIDA,1144
יהל,YAHEL,1158
יובלים,YUVALLIM,1226
יתד,YATED,1227
יבול,YEVUL,1232
יאנוח-ג'ת,YANUH-JAT,1295
יובל,YUVAL,2009
ינון,YINNON,2011
ירדנה,YARDENA,2026
יבנה,YAVNE,2660
ירושלים,JERUSALEM,3000
יפית,YAFIT,3566
"ייט""ב",YITAV,3607
יקיר,YAQIR,3647
יצהר,YIZHAR,3749
יונתן,YONATAN,4007
יהוד,YEHUD,9400
כפר תבור,KEFAR TAVOR,47
כנרת (קבוצה),KINNERET(QEVUZA),57
כנרת (מושבה) ,KINNERET(MOSHAVA),63
כפר גלעדי,KEFAR GIL'ADI,76
כפר יחזקאל,KEFAR YEHEZQEL,85
כרם בן שמן,KEREM BEN SHEMEN,88
"כפר מל""ל",KEFAR MALAL,98
כפר גדעון,KEFAR GID'ON,106
כפר סילבר,KEFAR SILVER,107
כפר חסידים א',KEFAR HASIDIM ALEF,112
כפר ברוך,KEFAR BARUKH,132
כפר יהושע,KEFAR YEHOSHUA,140
כפר יונה,KEFAR YONA,168
כפר יעבץ,KEFAR YA'BEZ,170
"כפר ביל""ו",KEFAR BILU,177
כפר הס,KEFAR HESS,187
כפר פינס,KEFAR PINES,189
כפר ויתקין,KEFAR VITKIN,190
כפר החורש,KEFAR HAHORESH,192
כפר חיים,KEFAR HAYYIM,193
"כפר הרא""ה",KEFAR HARO'E,217
כפר ביאליק,KEFAR BIALIK,220
כפר ידידיה,KEFAR YEDIDYA,233
כפר סירקין,KEFAR SIRKIN,249
כפר המכבי,KEFAR HAMAKKABBI,254
כפר חיטים,KEFAR HITTIM,255
כפר שמריהו,KEFAR SHEMARYAHU,267
כפר מנחם,KEFAR MENAHEM,274
כפר רופין,KEFAR RUPPIN,295
כפר מסריק,KEFAR MASARYK,297
כפר גליקסון,KEFAR GLIKSON,310
כפר נטר,KEFAR NETTER,316
כפר ורבורג,KEFAR WARBURG,320
כפר סאלד,KEFAR SZOLD,345
כפר בלום,KEFAR BLUM,357
כפר אוריה,KEFAR URIYYA,364
כדורי,KADOORIE,371
כפר מונש,KEFAR MONASH,387
כפר קיש,KEFAR KISCH,388
כפר גלים,KEFAR GALLIM,427
כפר הנשיא,KEFAR HANASI,443
כאבול,KABUL,504
כאוכב אבו אל-היג'א,KAOKAB ABU AL-HIJA,505
כפר יאסיף,KAFAR YASIF,507
כפר כמא,KAFAR KAMA,508
כפר כנא,KAFAR KANNA,509
כפר מנדא,KAFAR MANDA,510
כפר מצר,KAFAR MISR,512
כברי,KABRI,576
כפר ראש הנקרה,KEFAR ROSH HANIQRA,579
"כרם מהר""ל",KEREM MAHARAL,580
כפר הנגיד,KEFAR HANAGID,582
כפר שמאי,KEFAR SHAMMAY,605
כפר חושן,KEFAR HOSHEN,609
כפר ברא,KAFAR BARA,633
כפר קאסם,KAFAR QASEM,634
כפר קרע,KAFAR QARA,654
כרם בן זמרה,KEREM BEN ZIMRA,664
כפר טרומן,KEFAR TRUMAN,673
כפר אחים,KEFAR AHIM,690
"כפר חב""ד",KEFAR HABAD,696
כפר דניאל,KEFAR DANIYYEL,707
כפר שמואל,KEFAR SHEMU'EL,743
כפר מרדכי,KEFAR MORDEKHAY,764
כרמיה,KARMIYYA,768
כפר זיתים,KEFAR ZETIM,786
כוכב מיכאל,KOKHAV MIKHA'EL,824
כיסופים,KISSUFIM,840
כפר עזה,KEFAR AZZA,845
כפר אביב,KEFAR AVIV,857
כסלון,KESALON,859
כפר עבודה,KEFAR AVODA,875
"כפר הרי""ף",KEFAR HARIF,888
כפר חסידים ב',KEFAR HASIDIM BET,889
כפר הנוער הדתי,KEFAR HANO'AR HADATI,890
כעביה-טבאש-חג'אג'רה,KA'ABIYYE-TABBASH-HAJAJRE,978
כסיפה,KUSEIFE,1059
כרם שלום,KEREM SHALOM,1085
כרם יבנה (ישיבה),KEREM YAVNE(YESHIVA),1094
כפר מימון,KEFAR MAYMON,1095
כפר רוזנואלד (זרעית),KEFAR ROZENWALD(ZARIT),1130
כרמיאל,KARMI'EL,1139
כישור,KISHOR,1153
כפר רות,KEFAR RUT,1166
כליל,KELIL,1183
כרמים,KERAMIM,1198
כמון,KAMMON,1201
כחל,KAHAL,1210
כוכב יאיר,KOKHAV YA'IR,1224
כלנית,KALLANIT,1229
כורזים,KORAZIM,1252
כפר ורדים,KEFAR WERADIM,1263
כרמי יוסף,KARME YOSEF,1264
כרכום,KARKOM,1285
כמהין,KEMEHIN,1291
כסרא-סמיע,KISRA-SUMEI,1296
כפר חנניה,KEFAR HANANYA,1297
כפר זוהרים,KEFAR ZOHARIM,1325
כמאנה,KAMANE,1331
כדיתה,KADDITA,1338
כחלה,KOCHLEA,1367
כרמי קטיף           ,KARMEI KATIF,1374
כנות,KANNOT,2006
כפר בן נון,KEFAR BIN NUN,2010
כפר עציון,KEFAR EZYON,3488
כוכב השחר,KOKHAV HASHAHAR,3564
כפר תפוח,KEFAR TAPPUAH,3572
כפר אדומים,KEFAR ADUMMIM,3638
כרמל,KARMEL,3656
כרמי צור,KARME ZUR,3766
כוכב יעקב,KOKHAV YA'AQOV,3779
כפר האורנים,KEFAR HAORANIM,3796
כפר חרוב,KEFAR HARUV,4004
כנף,KANAF,4028
כפר סבא,KEFAR SAVA,6900
לכיש,LAKHISH,24
לוזית,LUZIT,52
להבות הבשן,LAHAVOT HABASHAN,380
לביא,LAVI,585
לוחמי הגיטאות,LOHAME HAGETA'OT,595
לימן,LIMAN,674
להבות חביבה,LAHAVOT HAVIVA,715
לקיה,LAQYE,1060
לוטם,LOTEM,1171
לפידות,LAPPIDOT,1173
לבון,LAVON,1207
לבנים,LIVNIM,1230
לוטן,LOTAN,1255
להבים,LEHAVIM,1271
לפיד,LAPPID,1310
להב,LAHAV,2023
לוד,LOD,7000
לא ידוע,UNKNOWN,9999
מקווה ישראל,MIQWE YISRA'EL,22
מזכרת בתיה,MAZKERET BATYA,28
מטולה,METULA,43
מנחמיה,MENAHEMYA,48
מצפה,MIZPA,58
מגדל,MIGDAL,65
מרחביה (קיבוץ),MERHAVYA(QIBBUZ),66
מרחביה (מושב),MERHAVYA(MOSHAV),97
מצפה רמון,MIZPE RAMON,99
מאיר שפיה,ME'IR SHEFEYA,102
מזרע,MIZRA,104
משמר העמק,MISHMAR HAEMEQ,130
מלאה,MELE'A,164
משמר השרון,MISHMAR HASHARON,194
מעברות,MA'BAROT,197
מוצא עילית,MOZA ILLIT,208
משמרות,MISHMAROT,213
מעש,MA'AS,230
מסדה,MASSADA,263
מולדת,MOLEDET,269
מעוז חיים,MA'OZ HAYYIM,272
מעלה החמישה,MA'ALE HAHAMISHA,286
מעין צבי,MA'YAN ZEVI,290
מסילות,MESILLOT,298
מחניים,MAHANAYIM,308
מצובה,MAZZUVA,325
מענית,MA'ANIT,344
מנרה,MENARA,347
מגל,MAGGAL,375
משגב עם,MISGAV AM,378
מכמורת,MIKHMORET,382
משמר הנגב,MISHMAR HANEGEV,395
מעין ברוך,MA'YAN BARUKH,416
משאבי שדה,MASH'ABBE SADE,421
משמרת,MISHMERET,425
מגאר,MUGHAR,481
מג'ד אל-כרום,MAJD AL-KURUM,516
מזרעה,MAZRA'A,517
מעיליא,MI'ELYA,518
משהד,MESHHED,520
משמר דוד,MISHMAR DAWID,563
מעונה,ME'ONA,570
מבקיעים,MAVQI'IM,573
מגידו,MEGIDDO,586
מלכיה,MALKIYYA,596
מזור,MAZOR,606
מירון,MERON,607
משואות יצחק,MASSU'OT YIZHAQ,620
מוקייבלה,MUQEIBLE,635
מצר,MEZER,648
מייסר,MEISER,649
מפלסים,MEFALLESIM,668
משמר איילון,MISHMAR AYYALON,670
מעגן,MA'AGAN,678
מגדים,MEGADIM,689
מעגן מיכאל,MA'AGAN MIKHA'EL,694
מגן,MAGEN,695
מגשימים,MAGSHIMIM,722
משמר השבעה,MISHMAR HASHIV'A,729
מישר,MESHAR,731
משמר הירדן,MISHMAR HAYARDEN,732
מסילת ציון,MESILLAT ZIYYON,742
מסלול,MASLUL,748
מצליח,MAZLIAH,757
משגב דב,MISGAV DOV,765
מבוא ביתר,MEVO BETAR,771
מחסיה,MAHSEYA,776
משען,MASH'EN,791
מטע,MATTA,822
מבטחים,MIVTAHIM,829
מרגליות,MARGALIYYOT,843
מגדל העמק,MIGDAL HAEMEQ,874
מדרשת רופין,MIDRESHET RUPPIN,897
מסעודין אל-עזאזמה,MAS'UDIN AL-'AZAZME,939
מנשית זבדה,MANSHIYYET ZABDA,994
מבשרת ציון,MEVASSERET ZIYYON,1015
מעלות-תרשיחא,MA'ALOT-TARSHIHA,1063
מבועים,MABBU'IM,1080
מעגלים,MA'GALIM,1082
מרכז שפירא,MERKAZ SHAPPIRA,1098
מעלה גלבוע,MA'ALE GILBOA,1127
מי עמי,ME AMMI,1128
מדרשת בן גוריון,MIDRESHET BEN GURION,1140
מבוא מודיעים,MEVO MODI'IM,1141
מלכישוע,MALKISHUA,1154
מגן שאול,MAGEN SHA'UL,1155
מורן,MORAN,1163
מנוף,MANOF,1174
מורשת,MORESHET,1178
מתת,MATTAT,1184
מצפה נטופה,MIZPE NETOFA,1190
מחנה יתיר,MAHANE YATTIR,1196
מודיעין-מכבים-רעות,MODI'IN-MAKKABBIM-RE'UT,1200
מכמנים,MIKHMANNIM,1202
מנות,MANOT,1205
"מצפה אבי""ב",MIZPE AVIV,1222
מסד,MASSAD,1258
מיתר,METAR,1268
מירב,MERAV,1282
מתן,MATTAN,1315
מבואות ים,MEVO'OT YAM,1318
מעלה עירון,MA'ALE IRON,1327
מרחב עם,MERHAV AM,1340
מכחול,MAKCHUL,1343
מולדה,MOLADA*,1360
מצפה אילן,MITSPE ILAN,1370
מחנה הילה,MAHANE HILLA,1411
מחנה תל נוף,MAHANE TEL NOF,1412
מחנה יהודית,MAHANE YEHUDIT,1413
מחנה מרים,MAHANE MIRYAM,1414
מחנה יפה,MAHANE YAFA,1415
מחנה יוכבד,MAHANE YOKHEVED,1416
מחנה טלי,MAHANE TALI,1418
מדרך עוז,MIDRAKH OZ,2029
מנוחה,MENUHA,2030
מלילות,MELILOT,2044
מיטב,METAV,2054
מאור,MA'OR,2055
מגדל עוז,MIGDAL OZ,3561
מבוא דותן,MEVO DOTAN,3569
מצפה יריחו,MIZPE YERIHO,3576
מחולה,MEHOLA,3599
משואה,MASSU'A,3605
מעלה אפרים,MA'ALE EFRAYIM,3608
מצפה שלם,MIZPE SHALEM,3610
מכורה,MEKHORA,3614
מעלה אדומים,MA'ALE ADUMMIM,3616
מעלה שומרון,MA'ALE SHOMERON,3637
מתתיהו,MATTITYAHU,3648
